"대여소 번호","거치대","위도","경도","고도 표준편차(1km)"
"101.0","5.0","37.549561","126.905754","95.30572540300167"
"102.0","20.0","37.556","126.910454","96.23185988323603"
"103.0","14.0","37.554951","126.910835","96.32721712538226"
"104.0","13.0","37.550629","126.91498600000001","96.63537906137184"
"105.0","5.0","37.550007","126.914825","96.63537906137184"
"106.0","10.0","37.548645","126.91282700000001","96.29864002220371"
"107.0","5.0","37.55751","126.918503","97.52308120133482"
"108.0","10.0","37.552746","126.918617","97.32981090100111"
"109.0","10.0","37.547691","126.919983","96.90197167453485"
"110.0","5.0","37.568199","126.917847","98.35630580357143"
"111.0","10.0","37.547871","126.92353100000001","97.42765898361566"
"112.0","10.0","37.549202","126.923203","97.81699527908914"
"113.0","25.0","37.557499","126.923805","98.162680756396"
"114.0","15.0","37.55706","126.924423","98.17625799277175"
"115.0","15.0","37.558933","126.927116","98.96601671309192"
"116.0","5.0","37.564541","126.927071","99.24129283923098"
"117.0","5.0","37.591159999999995","126.94133000000001","103.20050689946494"
"118.0","10.0","37.547733","126.93176299999999","98.93525179856115"
"119.0","10.0","37.545284","126.931053","98.81637168141593"
"120.0","5.0","37.545242","126.93411299999998","99.22044198895027"
"121.0","15.0","37.549766999999996","126.933174","99.1578073089701"
"122.0","10.0","37.547249","126.93929299999999","100.01962952723251"
"123.0","10.0","37.59433","126.94738799999999","104.47490129723633"
"124.0","20.0","37.551140000000004","126.93698899999998","100.18644536652836"
"125.0","15.0","37.549484","126.93895","100.45175559856234"
"126.0","20.0","37.550411","126.943848","101.06275919270114"
"127.0","15.0","37.55352","126.93695100000001","100.1825484764543"
"128.0","20.0","37.555496000000005","126.93633999999999","100.13481276005548"
"129.0","15.0","37.555054","126.937569","100.38314388688661"
"130.0","10.0","37.554859","126.93615700000001","100.10257831993346"
"131.0","8.0","37.584171000000005","126.911102","97.79590692458649"
"132.0","15.0","37.556789","126.935883","100.14555555555556"
"133.0","7.0","37.582031","126.908997","97.42797202797203"
"134.0","8.0","37.557891999999995","126.93808","100.48848182070496"
"135.0","10.0","37.559101","126.939178","100.6425792106726"
"136.0","7.0","37.555690999999996","126.942451","100.9539783753812"
"137.0","10.0","37.556812","126.943184","101.31159822419534"
"138.0","10.0","37.559177000000005","126.934525","99.99582405345211"
"139.0","13.0","37.559795","126.93447900000001","99.99582405345211"
"140.0","20.0","37.560009","126.940735","101.10978321289605"
"141.0","20.0","37.562382","126.932648","99.86542212315408"
"142.0","11.0","37.557201","126.955666","103.10266370699223"
"143.0","9.0","37.544579","126.95021799999999","101.97447280799112"
"144.0","10.0","37.543579","126.951324","102.03746877601998"
"145.0","9.0","37.54425","126.951637","102.06579677956691"
"146.0","12.0","37.539936","126.945824","100.93148404993065"
"147.0","7.0","37.539272","126.94591499999999","100.73211314475874"
"148.0","11.0","37.542347","126.943024","100.28796680497925"
"150.0","15.0","37.552956","126.93434099999999","99.74535367545076"
"151.0","10.0","37.555687","126.905548","95.6296193387052"
"152.0","30.0","37.55661","126.898018","94.03966712898752"
"153.0","12.0","37.564696999999995","126.912613","97.00027839643653"
"154.0","13.0","37.560909","126.905495","95.57460405668242"
"155.0","15.0","37.56855","126.91451299999999","97.69588202559822"
"156.0","10.0","37.549904","126.955147","103.08192168841988"
"157.0","12.0","37.553001","126.95668799999999","103.23638888888888"
"158.0","15.0","37.571259000000005","126.96048","104.85610910102979"
"159.0","7.0","37.556953","126.94634199999999","101.8781163434903"
"160.0","20.0","37.557549","126.95938100000001","104.0377253814147"
"161.0","8.0","37.582245","126.950645","104.01178781925344"
"162.0","15.0","37.565269","126.946243","102.04394993045896"
"163.0","7.0","37.583698","126.92496499999999","99.80672268907563"
"164.0","10.0","37.574478000000006","126.910049","97.36545961002786"
"165.0","20.0","37.575138","126.91394","97.87183059348008"
"166.0","20.0","37.573277000000004","126.919678","98.53082287308229"
"167.0","15.0","37.57946","126.91713","98.56564245810056"
"168.0","20.0","37.574821","126.918053","98.23939732142857"
"169.0","15.0","37.573002","126.907799","96.55029256060183"
"170.0","10.0","37.573112","126.92244699999999","99.16461710452766"
"171.0","10.0","37.562134","126.969254","105.99275967697021"
"172.0","8.0","37.573254","126.935722","101.10841017043867"
"173.0","8.0","37.564777","126.966148","105.40689271817676"
"174.0","10.0","37.580589","126.923447","99.46884604638167"
"175.0","20.0","37.578072","126.93081699999999","100.51778213385606"
"176.0","10.0","37.581097","126.924026","99.5230640201286"
"177.0","8.0","37.577675","126.909805","97.43666294642857"
"178.0","10.0","37.579876","126.906349","97.10763209393346"
"179.0","15.0","37.569122","126.914795","97.67232267037552"
"180.0","10.0","37.559967","126.96246299999999","104.48707974437343"
"181.0","15.0","37.551342","126.902672","94.80655919955531"
"182.0","10.0","37.551567","126.902847","94.79532814238043"
"183.0","15.0","37.565166","126.919395","98.35321996097016"
"184.0","9.0","37.558949","126.907753","96.05954368391764"
"185.0","15.0","37.542545000000004","126.934296","99.07698675496688"
"186.0","40.0","37.563965","126.89820900000001","94.64888888888889"
"188.0","10.0","37.586388","126.93512700000001","101.82448750351026"
"191.0","10.0","37.578891999999996","126.91073600000001","97.5947530002791"
"192.0","10.0","37.572227000000005","126.923065","99.0612073784237"
"194.0","10.0","37.577315999999996","126.902969","96.0374510899944"
"195.0","10.0","37.567657000000004","126.917809","98.3042387060792"
"196.0","10.0","37.56612","126.925896","99.19102063580591"
"198.0","15.0","37.562138","126.963776","104.66546262850792"
"199.0","30.0","37.566845","126.896446","94.56114508060034"
"200.0","20.0","37.528728","126.914925","95.19536423841059"
"201.0","15.0","37.531239","126.921333","96.39581036383683"
"202.0","15.0","37.528816","126.92453","96.71113561190738"
"203.0","15.0","37.528057000000004","126.918701","96.12200495731203"
"204.0","13.0","37.528164000000004","126.917023","95.72724765581908"
"205.0","20.0","37.526264000000005","126.92050900000001","96.35059212338199"
"206.0","20.0","37.524665999999996","126.918022","95.61252068394926"
"207.0","40.0","37.526989","126.932098","98.01439645625692"
"209.0","12.0","37.524612","126.927834","97.33508287292818"
"210.0","12.0","37.524532","126.923172","96.66115246760408"
"211.0","13.0","37.522228000000005","126.924637","96.70300855644494"
"212.0","35.0","37.521361999999996","126.92346200000001","96.32477924944813"
"213.0","15.0","37.521908","126.918953","95.69625137816979"
"214.0","20.0","37.523022","126.920837","95.89462068965517"
"215.0","10.0","37.524837","126.93490600000001","98.40326598394685"
"216.0","10.0","37.523491","126.932899","97.94664086259331"
"217.0","10.0","37.522079","126.93036699999999","97.58849557522124"
"218.0","20.0","37.523277","126.92923700000001","97.55850622406639"
"219.0","12.0","37.520695","126.925835","96.8863070539419"
"220.0","30.0","37.519363","126.926048","96.68677365799668"
"221.0","10.0","37.522675","126.93778999999999","98.58390931711364"
"222.0","12.0","37.520271","126.93888100000001","98.78364189002487"
"223.0","20.0","37.519314","126.933167","97.90251311792322"
"224.0","20.0","37.520088","126.93236499999999","97.74433388612493"
"225.0","26.0","37.517368","126.929253","97.25925925925925"
"226.0","20.0","37.517765000000004","126.92841299999999","97.015214384509"
"227.0","10.0","37.544666","126.88835900000001","92.27410886985355"
"228.0","10.0","37.53846","126.894508","93.07590027700832"
"229.0","20.0","37.535872999999995","126.89218100000001","92.60421286031043"
"230.0","10.0","37.524634999999996","126.896217","92.71704890853827"
"231.0","10.0","37.524372","126.89209699999999","92.13633849557522"
"232.0","20.0","37.52565","126.887817","91.64823008849558"
"233.0","10.0","37.528488","126.89164699999999","92.31258644536653"
"234.0","10.0","37.500462","126.905846","93.453591160221"
"235.0","10.0","37.504566","126.910233","94.1875172604253"
"236.0","10.0","37.516155","126.89461499999999","91.9936551724138"
"237.0","20.0","37.496513","126.914803","94.35229155162894"
"238.0","10.0","37.526385999999995","126.90275600000001","93.57304925290536"
"239.0","20.0","37.525852","126.903282","93.57304925290536"
"240.0","10.0","37.518867","126.895706","92.27121924246613"
"241.0","10.0","37.505328999999996","126.89848300000001","92.18595041322314"
"242.0","15.0","37.510933","126.910225","94.14376204902231"
"243.0","15.0","37.527225","126.891594","92.27162199502625"
"244.0","20.0","37.530079","126.905708","94.18234643054787"
"245.0","10.0","37.528263","126.896629","92.79358938933407"
"247.0","19.0","37.533688","126.902107","93.98063087991146"
"248.0","10.0","37.531055","126.92421000000002","96.70022062879205"
"249.0","8.0","37.52412","126.93654599999999","98.59336099585062"
"250.0","10.0","37.507641","126.92308","96.07182320441989"
"251.0","10.0","37.504494","126.921951","95.69685256764218"
"252.0","10.0","37.499977","126.92003600000001","95.30488815244408"
"253.0","10.0","37.500702000000004","126.909378","93.86854460093896"
"254.0","10.0","37.503803000000005","126.903419","92.95400716056183"
"255.0","10.0","37.506572999999996","126.901131","92.63721442334159"
"256.0","10.0","37.509476","126.8993","92.39598238855255"
"257.0","10.0","37.513844","126.919357","95.7112462006079"
"258.0","14.0","37.517693","126.914299","94.7931129476584"
"259.0","17.0","37.513591999999996","126.92593400000001","96.47804473902237"
"260.0","15.0","37.533817","126.91249099999999","95.55949086884338"
"262.0","12.0","37.519928","126.889183","91.55813311239989"
"263.0","12.0","37.517151","126.888626","91.37531068765534"
"264.0","15.0","37.521931","126.891617","91.83351769911505"
"265.0","15.0","37.521133","126.89653799999999","92.55063641394577"
"266.0","10.0","37.520447","126.90109299999999","93.05457552370451"
"267.0","10.0","37.535961","126.8983","93.55152354570637"
"268.0","10.0","37.534718","126.900002","93.66989753530878"
"270.0","10.0","37.522343","126.92710100000001","97.39280774550484"
"271.0","10.0","37.518963","126.92161599999999","96.08505937586303"
"272.0","20.0","37.535339","126.903679","94.10265633646928"
"300.0","7.0","37.56805","126.96923100000001","106.10219994430521"
"301.0","16.0","37.575794","126.971451","107.02788622420525"
"302.0","12.0","37.575947","126.97406000000001","107.47434467373118"
"303.0","8.0","37.571732","126.97492199999999","107.37301366044048"
"304.0","7.0","37.572487","126.977501","107.95359239586246"
"305.0","11.0","37.572582000000004","126.97835500000001","108.03270897400056"
"306.0","9.0","37.570808","126.97643300000001","107.71983240223463"
"307.0","11.0","37.57","126.9711","106.49164810690424"
"308.0","10.0","37.569969","126.97393799999999","107.218070273285"
"309.0","13.0","37.569889","126.976456","107.71983240223463"
"310.0","10.0","37.568878000000005","126.97747","107.78330075397933"
"311.0","35.0","37.566612","126.97747","107.75334821428571"
"312.0","7.0","37.564674","126.97673799999998","107.28567447045708"
"313.0","5.0","37.556961","126.97177099999999","105.81691708402894"
"314.0","10.0","37.579708000000004","126.98085800000001","108.51327186364907"
"315.0","4.0","37.57597","126.98306299999999","108.9420979020979"
"316.0","12.0","37.570396","126.98178899999999","108.44587053571429"
"318.0","10.0","37.568527","126.982552","108.52775453277545"
"320.0","20.0","37.566223","126.983589","108.5486750348675"
"321.0","15.0","37.565464","126.98413799999999","108.5733407696598"
"322.0","15.0","37.564476","126.98696899999999","108.9788182831661"
"324.0","10.0","37.56134","126.9804","107.65282808581777"
"326.0","20.0","37.576240999999996","126.98616000000001","109.3428491463756"
"327.0","10.0","37.573357","126.98746499999999","109.38412077159632"
"328.0","11.0","37.570396","126.98818999999999","109.32569832402234"
"329.0","8.0","37.568344","126.98789199999999","109.2895030709101"
"330.0","10.0","37.568165","126.984978","108.85869868751746"
"331.0","10.0","37.566383","126.987206","109.06527196652719"
"332.0","7.0","37.56599","126.987793","109.1376811594203"
"334.0","10.0","37.570599","126.99179099999999","109.78882681564245"
"335.0","10.0","37.570198","126.991257","109.75816810946662"
"336.0","10.0","37.562618","126.99283600000001","109.73739905318853"
"337.0","5.0","37.578979","126.996475","110.90758891066928"
"338.0","18.0","37.570957","126.997124","110.60771165129924"
"339.0","10.0","37.571068","126.99819199999999","110.7005033557047"
"340.0","8.0","37.585629","127.000679","111.79275484414491"
"341.0","10.0","37.58157","127.00178500000001","111.6845204711161"
"342.0","10.0","37.579784000000004","127.00253300000001","111.70487668161435"
"343.0","12.0","37.575432","127.00498200000001","111.87111235640235"
"344.0","10.0","37.574036","127.006721","112.15664335664336"
"345.0","15.0","37.573307","127.00071000000001","111.45904389152922"
"346.0","10.0","37.569183","127.00988000000001","112.43776106934001"
"347.0","18.0","37.565331","127.007843","112.04590984974958"
"348.0","14.0","37.572029","126.96078500000002","104.88888888888889"
"349.0","7.0","37.576332","126.96858999999999","106.64500836586726"
"351.0","8.0","37.585079","126.970619","107.31829644158027"
"352.0","15.0","37.583416","126.98523700000001","109.30842429331095"
"353.0","8.0","37.579388","126.98494699999999","109.32239977572189"
"354.0","10.0","37.579155","126.98896","109.80330624824882"
"355.0","15.0","37.576508000000004","127.002457","111.70240761478163"
"356.0","15.0","37.577145","127.00206000000001","111.60761265043381"
"358.0","13.0","37.5825","126.998535","111.29637945551501"
"359.0","8.0","37.576060999999996","126.997681","110.94565826330532"
"361.0","10.0","37.573242","127.01590700000001","113.58105849582172"
"362.0","10.0","37.572224","127.022705","114.61159097241571"
"363.0","10.0","37.575759999999995","127.02283500000001","114.70097629009763"
"364.0","8.0","37.579334","127.015083","113.85602460162147"
"367.0","8.0","37.573848999999996","126.958694","104.67838214783822"
"368.0","12.0","37.569247999999995","126.98053700000001","108.17912946428571"
"369.0","20.0","37.575493","126.9785","108.13324022346369"
"370.0","8.0","37.563229","126.97483799999999","106.77817979404398"
"371.0","10.0","37.558871999999994","127.00553899999998","111.4504854368932"
"372.0","10.0","37.554295","127.0112","112.37444567627495"
"373.0","8.0","37.555859000000005","127.013855","112.83055555555555"
"374.0","10.0","37.560474","127.014076","112.84137548530228"
"375.0","8.0","37.563717","127.018425","113.76298971936649"
"377.0","10.0","37.557217","126.97300700000001","106.25521267723103"
"378.0","10.0","37.569805","127.016953","113.66211699164346"
"379.0","7.0","37.556","126.973358","105.9654980523094"
"380.0","8.0","37.563866","127.002747","111.19849874895746"
"381.0","10.0","37.558533000000004","127.00698899999999","111.79811425402107"
"382.0","7.0","37.555199","127.010048","112.1797783933518"
"383.0","17.0","37.565849","127.016403","113.32916319154852"
"384.0","10.0","37.559779999999996","126.968506","105.4858017817372"
"385.0","10.0","37.569835999999995","126.982658","108.58542713567839"
"386.0","10.0","37.590233000000005","126.99852","111.62482409231636"
"387.0","10.0","37.566994","127.003464","111.40879977722084"
"388.0","10.0","37.585735","127.00161000000001","111.79275484414491"
"389.0","10.0","37.56673","126.996605","110.48924881318068"
"390.0","10.0","37.56139","126.995354","110.14945727804063"
